target_month,nowcast_date,cpi_mom_nowcast,cpi_mom_actual_clevelandfed
2014-07,2014-07-15,0.1835549893,
2014-07,2014-07-16,0.1835549893,
2014-07,2014-07-17,0.1835549893,
2014-07,2014-07-18,0.1835549893,
2014-07,2014-07-21,0.1835549893,
2014-07,2014-07-22,0.156790134,
2014-07,2014-07-23,0.156790134,
2014-07,2014-07-24,0.156790134,
2014-07,2014-07-25,0.156790134,
2014-07,2014-07-28,0.1259014736,
2014-07,2014-07-29,0.1259014736,
2014-07,2014-07-30,0.1259014736,
2014-07,2014-07-31,0.1259014736,
2014-07,2014-08-01,0.1259014736,
2014-07,2014-08-04,0.1259014736,
2014-07,2014-08-05,0.1259014736,
2014-07,2014-08-06,0.1259014736,
2014-07,2014-08-07,0.1259014736,
2014-07,2014-08-08,0.1259014736,
2014-07,2014-08-11,0.1259014736,
2014-07,2014-08-12,0.1259014736,
2014-07,2014-08-13,0.1259014736,
2014-07,2014-08-14,0.1259014736,
2014-08,2014-08-01,0.0170991101,
2014-08,2014-08-04,0.0268608009,
2014-08,2014-08-05,0.0268608009,
2014-08,2014-08-06,0.0268608009,
2014-08,2014-08-07,0.0268608009,
2014-08,2014-08-08,0.0268608009,
2014-08,2014-08-11,0.0182288535,
2014-08,2014-08-12,0.0182288535,
2014-08,2014-08-13,0.0182288535,
2014-08,2014-08-14,0.0182288535,
2014-08,2014-08-15,0.0182288535,
2014-08,2014-08-18,0.0018639416,
2014-08,2014-08-19,0.001864,
2014-08,2014-08-20,0.0018639416,
2014-08,2014-08-21,0.001864,
2014-08,2014-08-22,-0.0124531967,
2014-08,2014-08-25,-0.0124531967,
2014-08,2014-08-26,-0.012453,
2014-08,2014-08-27,-0.0124531967,
2014-08,2014-08-28,-0.0124531967,
2014-08,2014-08-29,-0.0124531967,
2014-08,2014-09-02,-0.0124531967,
2014-08,2014-09-03,-0.012453,
2014-08,2014-09-04,-0.0124531967,
2014-08,2014-09-05,-0.012453,
2014-08,2014-09-08,-0.0124531967,
2014-08,2014-09-09,-0.012453,
2014-08,2014-09-10,-0.0124531967,
2014-08,2014-09-11,-0.012453,
2014-09,2014-09-02,0.1739254809,
2014-09,2014-09-03,0.2150686322,
2014-09,2014-09-04,0.2150686322,
2014-09,2014-09-05,0.2150686322,
2014-09,2014-09-08,0.215069,
2014-09,2014-09-09,0.2137011683,
2014-09,2014-09-10,0.213701,
2014-09,2014-09-11,0.2137011683,
2014-09,2014-09-12,0.213701,
2014-09,2014-09-15,0.2137011683,
2014-09,2014-09-16,0.213701,
2014-09,2014-09-17,0.1795665505,
2014-09,2014-09-18,0.179567,
2014-09,2014-09-19,0.179567,
2014-09,2014-09-22,0.1492990513,
2014-09,2014-09-23,0.1492990513,
2014-09,2014-09-24,0.1492990513,
2014-09,2014-09-25,0.1492990513,
2014-09,2014-09-26,0.1492990513,
